Species_ID,Scientific_Name,Code,Taxonomic_Order,Taxonomic_Family,Genus,Species,Subdivision,Authority,Synonym,Authority_Source,Citation,Common_Name,Life_Cycle,Complete,Update_Date,Update_By,Update_Comments,Park,Life_Form,Nativity,Park_Common_Name,Distribution,Conservation_Status
20100315154438-111244201.660156,Eragrostis grandis,ERAGRA,Cyperales,Poaceae,Eragrostis,grandis,,Hillebr.,,Wagner et al. 2012,"Herbst & Clayton, 1998",large Hawai'i lovegrass,Perennial,TRUE,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,HALE,Grass,Native,Eragrostis grandis,end,
20100315154438-111244201.660156,Eragrostis grandis,ERAGRA,Cyperales,Poaceae,Eragrostis,grandis,,Hillebr.,,Wagner et al. 2012,"Herbst & Clayton, 1998",large Hawai'i lovegrass,Perennial,TRUE,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,HAVO,Grass,Native,Eragrostis grandis,end,
20100315154438-111244201.660156,Eragrostis grandis,ERAGRA,Cyperales,Poaceae,Eragrostis,grandis,,Hillebr.,,Wagner et al. 2012,"Herbst & Clayton, 1998",large Hawai'i lovegrass,Perennial,TRUE,2013-12-12T15:30:01Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,KALA,Grass,Native,Eragrostis grandis,end,
20100315154438-111432909.965515,Peperomia reineckei,PEPREI,Piperales,Piperaceae,Peperomia,reineckei,,,,,,,Both,FALSE,,,,NPSA,,Native,,,
20100315154438-113552629.947662,Cyanea dunbariae,CYADUN,Campanulales,Campanulaceae,Cyanea,dunbariae,,Rock,Cyanea dunbarii Rock (spelling change),Wagner et al. 2012,"Hughes, 1995; Lammers, pers. comm., 1997",,Perennial,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database.",KALA,,Native,,end,
20100315154438-113618969.917297,Ximenia americana,XIMAME,Santalales,Olacaceae,Ximenia,americana,,,,,,moli tai,Perennial,FALSE,,,,NPSA,,Native,,,
20100315154438-113618969.917297,Ximenia americana,XIMAME,Santalales,Olacaceae,Ximenia,americana,,,,,,moli tai,Perennial,FALSE,,,,WAPA,,Native,,,
20100315154438-113737404.346466,Ischaemum byrone,ISCBYR,Cyperales,Poaceae,Ischaemum,byrone,,(Trin.) Hitchc.,,Wagner et al. 2012,"Lorence et al., 1995; Imada et al., 2000",Hilo ischaemum,Perennial,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form and conservation status in xref table from PLANTS database.,HALE,,Non-Native,,end,E
20100315154438-113737404.346466,Ischaemum byrone,ISCBYR,Cyperales,Poaceae,Ischaemum,byrone,,(Trin.) Hitchc.,,Wagner et al. 2012,"Lorence et al., 1995; Imada et al., 2000",Hilo ischaemum,Perennial,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form and conservation status in xref table from PLANTS database.,HAVO,,Native,,end,E
20100315154438-113947570.323944,Lotus subbiflorus,LOTSUB,Fabales,Fabaceae,Lotus,subbiflorus,,Lag.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,hairy bird's-foot trefoil,Annual,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,HALE,Herb,Non-Native,hairy bird's-foot trefoil,nat,
