Species_ID,Update_Date,Update_By,Park,Life_Form,Nativity,Distribution,Conservation_Status,Scientific_Name,Code,Taxonomic_Order,Taxonomic_Family,Genus,Species,Subdivision,Authority,Authority_Source,Citation,Life_Cycle,Update_Comments,Park_Common_Name
20100315154438-849933981.895447,2013-12-12T15:30:01Z,Kelly Kozar,PUHO,Herb,Non-Native,nat,,Ocimum gratissimum,OCIGRA,Lamiales,Lamiaceae,Ocimum,gratissimum,,L.,Wagner et al. 2012,"Lorence et al., 1995",Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,African basil
20100315154438-850022971.630096,2013-11-07T00:00:00Z,Kelly Kozar,AMME,,Native,,,Deeringia amaranthoides,DEEAMA,Caryophyllales,Amaranthaceae,Deeringia,amaranthoides,,,,,Perennial,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSN",
20100315154438-850568294.525146,2013-12-12T15:35:47Z,Kelly Kozar,HAVO,,Native,end,,Phyllostegia parviflora var. glabriuscula,PHYPAR,Lamiales,Lamiaceae,Phyllostegia,parviflora,var. glabriuscula,(Gaudich.) Benth.; A.Gray,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,
20100315154438-851081907.749176,,,HALE,,Non-Native,,,Pinus banksiana,PINBAN,Pinales,Pinaceae,Pinus,banksiana,,,,,Perennial,,
20100315154438-851496875.286102,2013-12-13T12:17:25Z,Kelly Kozar,KAHO,,Non-Native,nat,,Kalanchoe daigremontiana,KALDAI,Rosales,Crassulaceae,Kalanchoe,daigremontiana,,Raym.-Hamet & H. Perrier,Wagner et al. 2012,"Lorence et al., 1995; Starr et al., 2006; Parker and Parsons, 2010",Perennial,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",
20100315154438-852309644.22226,2013-12-12T15:44:13Z,Kelly Kozar,KALA,,Native,end,,Clermontia arborescens ssp. waikoluensis,CLEARB2,Campanulales,Campanulaceae,Clermontia,arborescens,ssp. waikoluensis,(H. Mann) Hillebr.; (H. St. John) Lammers,Wagner et al. 2012,"Lammers, 1991",Perennial,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authorit",
20100315154438-852378666.400909,2013-12-13T12:17:25Z,Kelly Kozar,HAVO,,Non-Native,nat,,Cyperus virens,CYPVIR,Cyperales,Cyperaceae,Cyperus,virens,,Michx.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,
20100315154438-852417886.257172,2013-12-12T15:35:47Z,Kelly Kozar,HALE,Sedge,Native,ind,,Carex meyenii,CARMEY,Cyperales,Cyperaceae,Carex,meyenii,,Nees,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,Carex meyenii
20100315154438-852417886.257172,2013-12-12T15:35:47Z,Kelly Kozar,HAVO,Sedge,Native,ind,,Carex meyenii,CARMEY,Cyperales,Cyperaceae,Carex,meyenii,,Nees,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,Carex meyenii
20100315154438-852417886.257172,2013-12-12T15:35:47Z,Kelly Kozar,KALA,Sedge,Native,ind,,Carex meyenii,CARMEY,Cyperales,Cyperaceae,Carex,meyenii,,Nees,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,Carex meyenii
